Label,xcoord,ycoord
97,5.270360609,0.533592449
97,5.036400923,0.560305476
97,5.564064763,0.147161946
97,5.979746038,0.00586674
97,5.649058861,0.642049943
97,5.339272326,0.99702314
97,5.826296872,0.082292822
97,5.978437433,0.943797327
97,5.388608223,0.701890456
97,5.342682855,0.907201869
97,5.064087264,0.717129328
97,5.71967202,0.653382775
97,5.742958604,0.472178515
97,5.752116819,0.747608665
97,5.885368199,0.587684942
97,5.154888166,0.543378551
97,5.859285743,0.954754165
97,5.653810391,0.536231365
97,5.086539084,0.66806333
97,5.023746994,0.090829326
97,5.872661066,0.120744979
97,5.730267259,0.906194555
97,5.352191077,0.194761033
97,5.961369928,0.348594352
97,5.859113733,0.672360803
97,5.929364723,0.835552332
97,5.231063706,0.143074389
97,5.890048668,0.98283282
97,5.908100974,0.665508701
97,5.226239339,0.943460697
97,5.701077957,0.078634777
97,5.847141438,0.993536313
97,5.326599787,0.239777877
97,5.147805094,0.214144669
97,5.859203026,0.126460468
97,5.700653896,0.002979899
97,5.979626526,0.021211229
97,5.670530902,0.27961647
97,5.01312872,0.062058959
97,5.036463013,0.396166522
97,5.105053974,0.620222277
97,5.986611737,0.431927777
97,5.095638261,0.826070689
97,5.499563195,0.519297948
97,5.868455948,0.452285616
97,5.250240851,0.883381972
97,5.088206591,0.727046
97,5.868086974,0.432844594
97,5.345750195,0.177294708
97,5.478166103,0.59205536
97,5.317778518,0.795424775
97,5.399011652,0.048534553
97,5.785312189,0.707993049
97,5.885266002,0.105573014
97,5.628427065,0.269439569
97,5.644478522,0.966996312
97,5.623224744,0.018078079
97,5.126045595,0.202304946
97,5.348217501,0.187517646
97,5.975969178,0.435129635
97,5.139137867,0.039185427
97,5.173533083,0.845934081
97,5.637817596,0.252878476
97,5.965634895,0.08280794
97,5.097993787,0.985173334
97,5.355692872,0.296067489
97,5.504021077,0.093048008
97,5.758869671,0.636156966
97,5.618625113,0.081893681
97,5.986783834,0.19431734
97,5.183360151,0.410379946
97,5.217110368,0.260312555
97,5.831514106,0.959663237
97,5.610768566,0.763293203
97,5.027389305,0.391878597
97,5.438273611,0.142319078
97,5.570137532,0.438295095
97,5.019748395,0.055534491
97,5.099722657,0.105042195
97,5.434637414,0.206171778
97,5.151679466,0.546622364
97,5.623305804,0.430047848
97,5.981769582,0.402645386
97,5.166964513,0.904906412
97,5.24446847,0.941557663
97,5.70843638,0.95443404
97,5.517310842,0.971909232
97,5.40661127,0.131145414
97,5.079737887,0.276676062
97,5.851799594,0.02644456
97,5.750772698,0.977517687
97,5.832597411,0.627100395
97,5.539072164,0.394223281
97,5.864376662,0.823944946
97,5.845874748,0.407549851
97,5.587854847,0.705080716
97,5.872830875,0.129489323
27,1.713538453,1.714742994
27,1.869254496,1.180368554
27,1.640746819,1.750751913
27,1.331175706,1.653466135
27,1.444541722,1.852847044
27,1.279964705,1.099858202
27,1.840909258,1.617884115
27,1.034110702,1.135055613
27,1.369714669,1.133155991
27,1.097109502,1.777802963
27,1.711478856,1.926413372
27,1.07221482,1.146316673
27,1.664780279,1.827268945
27,1.035990887,1.985159676
27,1.537527123,1.896358715
27,1.944489967,1.116264089
27,1.783964014,1.109424137
27,1.608075146,1.877610538
27,1.684394171,1.683537447
27,1.066479714,1.157794462
27,1.09918322,1.320015247
27,1.152581309,1.903938989
27,1.508471663,1.345607515
27,1.514406375,1.404203458
27,1.166862144,1.531453439
27,1.47799239,1.499342627
27,1.228023136,1.964937363
20,2.572627681,1.874470651
20,2.810561635,1.338406379
20,2.884943219,1.518129631
20,2.937104219,1.14928238
20,2.173041082,1.701307475
20,2.616388366,1.108942073
20,2.85126144,1.624657897
20,2.814863167,1.485498941
20,2.716026522,1.256831425
20,2.999744216,1.560168814
